Brocha;NBrochasHSS;NDiscos;NUsos;USDutchman;BrochaSN;OrdenFabricacion;PartNumber;NUso;NBrochaHSS;NDisco;FBrochado;DUMMY;Dutchman;Maquina;TpoIndexador; Utillaje;XC;ZC;BC;CC;XCMM;ZCMM;BCMM;CCMM
011.0081.300;2;2;11;7;E0460;222423814;14131671;11;1;1;2023-11-24 11:05:05.543;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0028;-0.121;-0.02;0.063;-0.03;-0.122;-0.034;-0.045;-0.005
011.0117.300;1;5;10;10;XE9007;222419193;14178189;1;1;3;2023-11-24 15:34:20.467;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0766;0.365;-0.063;0;0.004;-0.135;-0.001;-0.022;-0.017
011.0070.300;2;2;11;7;E0468;222425261;14180880;6;1;2;2023-11-24 16:23:29.390;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.43;0.06;0.07;0.03;0.016;0.031;-0.005;0.005
011.0070.300;2;2;11;7;E0539;DUMMY;14144443;1;2;0;2023-11-24 16:36:01.880;VERDADERO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.5;0.06;0.05;0.01;-0.139;0.009;0.006;0.023
011.0070.300;2;2;11;7;E0539;DUMMY;14144443;1;2;0;2023-11-24 16:52:18.787;VERDADERO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;-0.5;0.06;-0.05;0.01;-0.139;0.009;0.006;0.023
011.0117.300;1;5;10;10;XE9007;222419195;14178189;1;1;4;2023-11-24 20:16:27.277;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0766;0.23;-0.064;0;-0.013;-0.071;-0.008;-0.009;-0.001
011.0081.300;2;2;11;7;E0460;222423812;14131671;11;1;2;2023-11-24 23:13:49.763;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0028;-0.243;-0.02;0.018;-0.03;0.036;-0.035;0.001;-0.02
011.0117.300;1;5;10;10;XE9007;222416789;14178188;1;1;5;2023-11-25 00:58:55.770;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0765;0.265;-0.04;0;0;0.131;-0.013;0.023;-0.017
011.0082.300;2;2;11;7;E0473;222421181;14131672;10;1;1;2023-11-25 06:17:34.930;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0029;0.411;-0.02;0.065;-0.01;-0.272;0.052;-0.04;0.01
011.0103.300;1;6;9;7;UB9040;222415016;14125165;7;1;4;2023-11-25 06:27:42.130;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0011;0.054;-0.071;-0.105;0.09;-0.039;-0.008;0.031;0.041
011.0115.300;1;5;6;6;WI9003;DUMMY;14178189;4;1;0;2023-11-25 07:09:34.037;VERDADERO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0766;0.2;-0.05;0;0;0.005;-0.016;0.006;0.009
011.0070.300;2;2;11;7;E0468;222423828;14180880;6;2;1;2023-11-25 11:05:14.577;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.3;0.06;0.03;0.03;-0.03;-0.096;0.025;-0.003
011.0115.300;1;5;6;6;WI9003;222423523;14178189;4;1;1;2023-11-25 11:49:08.653;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0766;0.2;-0.059;0;0.008;0.035;0.01;0.01;-0.015
011.0082.300;2;2;11;7;E0473;222421182;14131672;10;1;2;2023-11-25 15:16:47.070;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0029;0.139;-0.02;0.025;-0.01;0.039;0.049;-0.002;-0.002
011.0103.300;1;6;9;7;UB9040;222411342;14125165;7;1;5;2023-11-25 16:33:06.430;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0011;0.015;-0.079;-0.074;0.09;0.044;0.006;-0.02;0.051
011.0070.300;2;2;11;7;E0539;222417931;14144443;1;2;1;2023-11-25 19:57:24.530;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;-0.639;0.06;-0.044;0.01;0.669;0.019;0.055;0.012
011.0115.300;1;5;6;6;WI9003;222423522;14178189;4;1;2;2023-11-25 21:05:30.943;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0766;0.235;-0.049;0;-0.007;-0.017;-0.016;0.003;0.003
011.0070.300;2;2;11;7;E0468;222421802;14135690;6;2;2;2023-11-26 06:10:07.670;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.33;0.06;0.05;0.03;0.19;-0.084;0.028;-0.018
011.0082.300;2;2;11;7;E0473;222421253;14131673;10;2;1;2023-11-26 10:19:36.940;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0030;0.539;-0.07;0.031;-0.02;0.028;-0.033;0.011;0.023
011.0070.300;2;2;11;7;E0539;222422637;14144443;1;2;2;2023-11-26 14:56:44.550;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.03;0.06;0.011;0.01;0.091;0.06;0.013;-0.018
011.0070.300;2;2;11;7;E0480;222425260;14180880;2;1;1;2023-11-26 19:41:59.413;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.689;0.06;0.078;0.03;-0.192;0.014;-0.002;-0.012
011.0082.300;2;2;11;7;E0473;222423595;14131673;10;2;2;2023-11-27 00:18:06.580;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0030;0.567;-0.07;0.042;-0.02;0.068;-0.057;0.007;0.021
011.0081.300;2;2;11;7;E0460;222423819;14131671;11;2;1;2023-11-27 04:55:05.807;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0028;0.251;-0.02;0.041;-0.03;-0.025;-0.081;0.032;0
011.0070.300;2;2;11;7;E0475;DUMMY;14144443;8;1;0;2023-11-27 05:32:06.643;VERDADERO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.5;0.06;0.05;0.01;-0.168;-0.017;-0.012;0.023
011.0070.300;2;2;11;7;E0475;DUMMY;14144443;8;1;0;2023-11-27 05:44:07.803;VERDADERO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;-0.5;0.06;-0.05;0.01;0.792;-0.02;0.081;0.01
011.0081.300;2;2;11;7;E0460;222423817;14131671;11;2;2;2023-11-27 11:06:37.170;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0028;0.226;-0.02;0.073;-0.03;0.28;-0.044;0.035;-0.005
011.0070.300;2;2;11;7;E0475;222416574;14144443;8;1;1;2023-11-27 14:58:44.003;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.3;0.06;0.031;0.01;-0.122;0.031;-0.002;-0.008
011.0070.300;2;2;11;7;E0480;CANCELADO;14180880;2;1;2;2023-11-27 15:37:10.670;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.497;0.06;0.076;0.03;0;0;0;0
011.0082.300;2;2;11;7;E0498;222420114;14129565;2;1;2;2023-11-27 17:46:49.790;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0031;0.173;-0.102;0.004;0.01;-0.062;0.019;0.003;-0.013
011.0070.300;2;2;11;7;E0480;222423827;14180880;2;2;1;2023-11-27 20:16:00.100;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.745;0.06;0.071;0.03;-0.693;-0.102;-0.038;-0.028
011.0077.300;2;2;11;7;E0484;222423457;14144441;10;1;1;2023-11-27 21:22:24.893;FALSO;VERDADERO;FORST 2;IND-7 WALTER 700;UBR.0756.01;0.222;-0.049;0;0.01;0.037;-0.004;0.006;-0.003
011.0081.300;2;2;11;7;E0471;DUMMY;14131670;8;1;0;2023-11-27 23:10:13.777;VERDADERO;VERDADERO;FORST 2;IND-7 WALTER 700;UBR.0027;-0.05;-0.11;0.02;0.03;-0.239;-0.026;-0.069;-0.006
011.0070.300;2;2;11;7;E0475;222421708;14144443;8;1;2;2023-11-28 00:58:47.457;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.178;0.06;0.029;0.01;0.093;0.034;0.008;-0.016
011.0082.300;2;2;11;7;E0442;DUMMY;14131672;1;1;0;2023-11-28 01:26:40.880;VERDADERO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0029;0.5;-0.02;0.05;-0.01;-0.363;0.061;-0.023;0.018
011.0082.300;2;2;11;7;E0442;DUMMY;14131672;1;1;0;2023-11-28 01:36:22.787;VERDADERO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0029;-0.5;-0.02;-0.05;-0.01;0.53;0.059;0.063;0.013
011.0077.300;2;2;11;7;E0484;222423458;14144441;10;1;2;2023-11-28 04:34:35.900;FALSO;VERDADERO;FORST 2;IND-7 WALTER 700;UBR.0756.01;0.259;-0.053;0;0.01;0.039;-0.003;0.006;-0.007
011.0070.300;2;2;11;7;E0480;222421801;14135690;2;2;2;2023-11-28 06:26:08.547;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.425;0.06;0.075;0.03;-0.444;-0.103;-0.053;-0.021
011.0081.300;2;2;11;7;E0471;222421709;14131670;8;1;1;2023-11-28 10:30:58.073;FALSO;VERDADERO;FORST 2;IND-7 WALTER 700;UBR.0027;-0.289;-0.136;0;0.03;-0.084;0.033;-0.013;-0.029
011.0082.300;2;2;11;7;E0442;222421187;14131672;1;1;1;2023-11-28 10:57:27.590;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0029;0.08;-0.02;0.03;-0.01;0.019;0.066;-0.016;0.012
011.0070.300;2;2;11;7;E0469;222418248;14144443;5;1;1;2023-11-28 15:31:18.863;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.46;0.06;0.083;0.01;0.066;-0.062;-0.016;0.012
011.0082.300;2;2;11;7;E0498;222421255;14152397;2;2;1;2023-11-28 15:32:07.593;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0733;-0.107;-0.022;-0.009;0.02;0.286;-0.032;-0.008;-0.015
011.0077.300;2;2;11;7;E0484;222423459;14144441;10;2;1;2023-11-28 16:56:49.820;FALSO;VERDADERO;FORST 2;IND-7 WALTER 700;UBR.0756.01;0.314;-0.052;0;0.01;-0.056;-0.004;-0.006;-0.016
011.0082.300;2;2;11;7;E0442;222421186;14131672;1;1;2;2023-11-28 22:18:16.567;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0029;0.099;-0.02;0.014;-0.01;0.035;0.095;0.004;0.016
011.0081.300;2;2;11;7;E0471;222421710;14131670;8;1;2;2023-11-28 22:28:30.423;FALSO;VERDADERO;FORST 2;IND-7 WALTER 700;UBR.0027;-0.373;-0.103;0;0.03;-0.051;0.006;-0.011;-0.019
011.0070.300;2;2;11;7;E0475;DUMMY;14135690;8;2;0;2023-11-28 22:32:05.193;VERDADERO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.39;0.06;0.04;0.03;-0.302;-0.04;-0.036;-0.035
011.0082.300;2;2;11;7;E0499;222418102;14152398;2;1;2;2023-11-28 23:26:55.757;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0734;0.201;-0.068;-0.006;0.02;0.049;0.017;-0.017;-0.006
011.0070.300;2;2;11;7;E0469;222421706;14144443;5;1;2;2023-11-29 03:20:41.333;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.526;0.06;0.067;0.01;0.045;-0.056;0.005;0.02
011.0077.300;2;2;11;7;E0484;222421713;14120359;10;2;2;2023-11-29 03:45:33.277;FALSO;VERDADERO;FORST 2;IND-7 WALTER 700;UBR.0756.01;0.302;-0.048;0.06;0.01;-0.03;0.032;-0.043;-0.022
011.0082.300;2;2;11;7;E0499;222421252;14131673;2;2;1;2023-11-29 03:48:48.820;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0030;0.494;-0.095;0.023;0.01;0.516;0.032;0.019;0.002
011.0109.300;2;2;9;7;E0407;222418107;14173286;3;2;2;2023-11-29 07:13:11.033;FALSO;FALSO;FORST 2;IND-7 WALTER 700;UBR.0748;0.477;-0.075;0;-0.02;-0.034;0.008;-0.02;-0.011
011.0070.300;2;2;11;7;E0475;222421800;14135690;8;2;1;2023-11-29 07:47:42.673;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.088;0.06;0.004;0.03;0.008;0.011;0.024;-0.021
011.0082.300;2;2;11;7;E0498;222423576;14152397;2;2;2;2023-11-29 08:51:36.303;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0733;0.179;-0.054;-0.017;0.02;-0.04;-0.027;0.003;-0.017
011.0081.300;2;2;11;7;E0436;222423815;14131671;6;1;1;2023-11-29 12:02:25.003;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0028;0.214;-0.02;0.054;-0.03;-0.305;-0.114;-0.012;0.012
011.0077.300;2;2;11;7;E0465;222421714;14120359;6;1;1;2023-11-29 12:42:06.167;FALSO;FALSO;FORST 2;IND-7 WALTER 700;UBR.0756.01;0.037;-0.029;-0.036;0.01;-0.295;-0.033;-0.017;0.004
011.0070.300;2;2;11;7;E0475;222423829;14180880;8;2;2;2023-11-29 17:41:17.383;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.269;0.06;0.038;0.03;-0.086;0.019;0.006;-0.02
011.0082.300;2;2;11;7;E0499;222423594;14131673;2;2;2;2023-11-29 18:21:42.857;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0030;1.01;-0.063;0.042;0.01;-0.082;0.009;-0.002;0
011.0082.300;2;2;11;7;E0492;222421754;14152399;5;1;1;2023-11-29 18:28:54.493;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0735;-0.126;-0.08;-0.007;0.07;0.616;0.02;0.038;0.005
011.0081.300;2;2;11;7;E0436;222423816;14131671;6;1;2;2023-11-29 22:43:38.523;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0028;-0.091;-0.02;0.042;-0.03;0.183;-0.088;0.014;-0.001
011.0082.300;2;2;11;7;E0442;DUMMY;14131674;1;2;0;2023-11-29 22:45:05.517;VERDADERO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0032;0.6;-0.04;0.06;-0.01;-0.71;-0.02;-0.03;0.02
011.0077.300;2;2;11;7;E0465;222421715;14120359;6;1;2;2023-11-29 23:40:54.280;FALSO;FALSO;FORST 2;IND-7 WALTER 700;UBR.0756.01;-0.258;-0.062;-0.053;0.01;0.097;0.032;-0.101;0.024
011.0077.300;2;2;11;7;E0379;222417795;14144442;4;1;1;2023-11-30 00:52:51.920;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0014;-0.467;-0.039;-0.046;-0.04;-0.121;0.002;-0.014;0.006
011.0082.300;2;2;11;7;E0442;222418088;14131674;1;2;1;2023-11-30 02:31:55.630;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0032;-0.11;-0.04;0.03;-0.01;-0.295;-0.056;-0.03;-0.018
011.0097.300;2;2;9;7;E0409;222417780;14173287;4;1;1;2023-11-30 02:40:53.123;FALSO;FALSO;FORST 2;IND-7 WALTER 700;UBR.0749;0.695;0.044;0;0.01;-0.101;0.005;-0.028;0.019
011.0081.300;2;2;11;7;E0471;DUMMY;14131670;8;2;0;2023-11-30 03:48:20.960;VERDADERO;VERDADERO;FORST 2;IND-7 WALTER 700;UBR.0027;-0.5;-0.1;0;0.03;0.519;0.003;-0.013;-0.007
011.0082.300;2;2;11;7;E0492;222421752;14152399;5;1;2;2023-11-30 05:35:48.440;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0735;0.49;-0.06;0.031;0.07;-0.092;0.013;-0.009;0.034
011.0070.300;2;2;11;7;E0469;222421192;14144443;5;2;1;2023-11-30 07:19:38.080;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.224;0.06;0.056;0.01;-0.019;0.029;-0.026;0.019
011.0097.300;2;2;9;7;E0409;222417781;14173287;4;1;2;2023-11-30 10:48:26.037;FALSO;FALSO;FORST 2;IND-7 WALTER 700;UBR.0749;0.594;0.049;0;0.01;-0.171;0.018;-0.039;0.001
011.0082.300;2;2;11;7;E0492;222421755;14152399;5;2;1;2023-11-30 12:07:05.143;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0735;-0.098;-0.078;0;0.07;0.54;0.017;0.035;-0.008
011.0082.300;2;2;11;7;E0442;222418091;14131674;1;2;2;2023-11-30 12:12:32.050;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0032;-0.405;-0.04;0;-0.01;-0.014;-0.026;-0.004;-0.004
011.0081.300;2;2;11;7;E0436;222425544;14131671;6;2;1;2023-11-30 16:29:35.410;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0028;-0.123;-0.02;0.025;-0.03;0.058;-0.018;0.005;0.018
011.0102.300;1;4;6;6;WD9014;222412819;14125166;5;1;1;2023-11-30 17:04:06.080;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0012;0;-0.073;-0.023;0.06;0.005;-0.011;-0.018;-0.027
011.0077.300;2;2;11;7;E0379;222421818;14144442;4;1;2;2023-11-30 17:49:01.033;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0014;-0.588;-0.037;-0.06;-0.04;0.043;0.043;0.016;-0.028
011.0070.300;2;2;11;7;E0469;222414330;14136124;5;2;2;2023-11-30 21:00:18.387;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.272;0.06;0.055;0.01;-0.206;-0.054;-0.034;0.019
011.0070.300;2;2;11;7;E0450;DUMMY;14160218;8;2;0;2023-11-30 21:32:47.207;VERDADERO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.038;0.06;0.04;0.03;-0.454;-0.048;-0.007;0.004
011.0077.300;2;2;11;7;E0379;222421816;14144442;4;2;1;2023-11-30 23:40:37.323;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0014;-0.403;0.002;0.011;-0.04;0.491;-0.011;0.008;0.006
011.0102.300;1;4;6;6;WD9014;222412821;14125166;5;1;2;2023-12-01 00:06:54.760;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0012;0.005;-0.084;-0.041;0.06;-0.05;0.015;-0.005;-0.011
011.0081.300;2;2;11;7;E0436;222423840;14131671;6;2;2;2023-12-01 03:04:57.373;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0028;-0.065;-0.02;0.03;-0.03;0.054;0.043;0.02;0.016
011.0115.300;1;5;6;6;WI9003;222419194;14178189;4;1;3;2023-12-01 05:11:27.590;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0766;0.218;-0.065;0;-0.004;0.013;0.018;0.005;-0.006
011.0082.300;2;2;11;7;E0492;222421756;14152399;5;2;2;2023-12-01 06:41:35.257;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0735;0.442;-0.061;0.035;0.07;-0.189;-0.015;-0.015;0.011
011.0081.300;2;2;11;7;E0485;DUMMY;14152395;8;1;0;2023-12-01 07:48:17.940;VERDADERO;VERDADERO;FORST 1;IND-6 WALTER 900AI2;UBR.0731;-0.1;-0.1;-0.01;0.03;0.772;0.075;0.06;-0.012
011.0081.300;2;2;11;7;E0485;DUMMY;14152395;8;1;0;2023-12-01 08:21:49.317;VERDADERO;VERDADERO;FORST 1;IND-6 WALTER 900AI2;UBR.0731;0.85;-0.02;0.08;0.03;-0.048;-0.004;-0.013;-0.013
011.0070.300;2;2;11;7;E0450;222422639;14160218;8;2;1;2023-12-01 09:43:27.430;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.2;0.06;0.04;0.03;0.11;-0.063;0.019;-0.034
011.0102.300;1;4;6;6;WD9014;222412822;14125166;5;1;3;2023-12-01 10:33:32.517;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0012;-0.045;-0.069;-0.046;0.06;0.025;0.01;-0.022;-0.001
011.0077.300;2;2;11;7;E0379;222421817;14144442;4;2;2;2023-12-01 12:28:10.520;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0014;0.088;-0.009;0.019;-0.04;-0.031;-0.003;0.001;-0.001
011.0070.300;2;2;11;7;E0468;222421705;14144443;7;1;1;2023-12-01 14:29:56.400;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.448;0.06;0.086;0.01;-0.144;-0.01;-0.042;0.037
011.0115.300;1;5;6;6;WI9003;222425556;14178189;4;1;4;2023-12-01 14:45:19.807;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0766;0.231;-0.047;0;-0.01;-0.047;-0.002;-0.008;0.006
011.0081.300;2;2;11;7;E0485;222421748;14152395;8;1;1;2023-12-01 16:55:54.397;FALSO;VERDADERO;FORST 1;IND-6 WALTER 900AI2;UBR.0731;0.7;-0.024;0.067;0.03;0.154;-0.001;0;-0.028
011.0070.300;2;2;11;7;E0450;222423830;14180880;8;2;2;2023-12-01 18:48:14.027;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.31;0.06;0.059;0.03;0.143;-0.081;0.012;-0.045
011.0102.300;1;4;6;6;WD9014;222412820;14125166;5;1;4;2023-12-01 20:34:52.343;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0012;-0.02;-0.059;-0.068;0.06;-0.033;-0.003;-0.009;0.003
011.0077.300;2;2;11;7;E0489;222426126;14144442;2;1;1;2023-12-01 22:21:26.097;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0014;1.089;-0.003;0.121;-0.04;-0.041;-0.04;0.011;0.037
011.0082.300;2;2;11;7;E0473;222418090;14131674;11;1;1;2023-12-01 23:02:06.127;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0032;0.129;-0.04;0.074;-0.01;-0.08;-0.048;-0.018;-0.006
011.0070.300;2;2;11;7;E0468;222414331;14136124;7;1;2;2023-12-02 04:19:57.030;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.635;0.06;0.08;0.01;-0.204;0.009;-0.027;0.061
011.0103.300;1;6;9;7;UB9040;222415018;14125165;7;1;6;2023-12-02 05:17:04.353;FALSO;FALSO;FORST 2;IND-1 WALTER 420;UBR.0011;0.059;-0.073;-0.094;0.09;0.009;0;-0.004;0.054
011.0082.300;2;2;11;7;E0473;222418092;14131674;11;1;2;2023-12-02 07:58:18.313;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0032;0.049;-0.04;0.056;-0.01;0.136;-0.048;0.005;0.014
011.0050.300;1;6;9;7;TB9011;DUMMY;14125165;8;1;0;2023-12-02 08:22:38.293;VERDADERO;VERDADERO;FORST 2;IND-1 WALTER 420;UBR.0011;0.28;-0.06;-0.07;0.09;-0.187;-0.002;-0.023;-0.04
011.0081.300;2;2;11;7;E0485;222421746;14152395;8;1;2;2023-12-02 11:49:49.577;FALSO;VERDADERO;FORST 1;IND-6 WALTER 900AI2;UBR.0731;0.854;-0.025;0.067;0.03;0.001;0;0;0
011.0070.300;2;2;11;7;E0468;222426122;14180880;7;2;1;2023-12-03 22:27:18.783;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.69;0.06;0.08;0.03;-0.411;-0.079;-0.029;-0.003
011.0050.300;1;6;9;7;TB9011;222415017;14125165;8;1;1;2023-12-04 00:05:17.647;FALSO;VERDADERO;FORST 2;IND-1 WALTER 420;UBR.0011;0.09;-0.06;-0.05;0.09;0.01;-0.004;-0.033;-0.039
011.0081.300;2;2;11;7;E0485;DUMMY;14152395;8;2;0;2023-12-04 01:06:51.843;VERDADERO;VERDADERO;FORST 1;IND-6 WALTER 900AI2;UBR.0731;0.41;-0.06;0.02;0.03;0.246;0.036;0.037;-0.01
011.0082.300;2;2;11;7;E0473;222425546;14129565;11;2;1;2023-12-04 06:42:54.570;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0031;0.173;0.01;0.033;-0.01;-0.005;0.001;0.012;0.041
011.0077.300;2;2;11;7;E0489;222421920;14144442;2;1;2;2023-12-04 08:30:34.740;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0014;1.048;-0.043;0.132;-0.04;0.101;0.02;0.012;0.033
011.0070.300;2;2;11;7;E0468;222426280;14180880;7;2;2;2023-12-04 11:20:26.803;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0016.02;0.279;0.06;0.051;0.03;-0.005;-0.141;0.002;0.007
011.0077.300;2;2;11;7;E0489;222421921;14144442;2;2;1;2023-12-04 14:41:36.133;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0014;-0.312;-0.002;0.053;-0.04;0.558;-0.021;-0.016;0.048
011.0070.300;2;2;11;7;E0480;222421707;14144443;3;1;1;2023-12-04 16:52:22.853;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0015.02;0.534;0.06;0.085;0.01;-0.238;-0.11;-0.04;0.013
011.0050.300;1;6;9;7;TB9011;222415019;14125165;8;1;2;2023-12-04 17:53:43.913;FALSO;VERDADERO;FORST 2;IND-1 WALTER 420;UBR.0011;0.093;-0.062;-0.093;0.09;-0.087;-0.021;-0.023;-0.019
011.0081.300;2;2;11;7;E0485;222420170;14152395;8;2;1;2023-12-04 19:43:32.607;FALSO;VERDADERO;FORST 1;IND-6 WALTER 900AI2;UBR.0731;0.656;-0.024;0.057;0.03;0.092;0.024;-0.002;-0.022
011.0081.300;2;2;11;7;E0471;222421711;14131670;8;2;1;2023-12-04 22:10:48.180;FALSO;VERDADERO;FORST 2;IND-7 WALTER 700;UBR.0027;0.019;-0.097;0;0.03;-0.174;-0.02;-0.024;-0.041
011.0082.300;2;2;11;7;E0473;222420115;14129565;11;2;2;2023-12-04 22:12:14.107;FALSO;VERDADERO;HOFFMANN;IND-4 WALTER 900;UBR.0031;0.168;0.01;0.045;-0.01;0.034;0.016;0.007;0.024
011.0081.300;2;2;11;7;E0451;DUMMY;14131671;1;1;0;2023-12-04 22:27:31.540;VERDADERO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0028;0.1;-0.02;0.06;-0.03;0.348;-0.082;0.034;0.041
011.0077.300;2;2;11;7;E0489;222426821;14144442;2;2;2;2023-12-05 01:46:13.227;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0014;0.246;-0.023;0.037;-0.04;0.044;-0.026;0.01;0.027
011.0081.300;2;2;11;7;E0451;222426478;14131671;1;1;1;2023-12-05 02:56:53.783;FALSO;FALSO;HOFFMANN;IND-4 WALTER 900;UBR.0028;0.448;-0.02;0.094;-0.03;0.906;-0.071;0.1;0.003
011.0077.300;2;2;11;7;E0465;222426328;14144441;6;2;1;2023-12-05 03:49:12.887;FALSO;FALSO;FORST 2;IND-7 WALTER 700;UBR.0756.01;0.089;-0.046;0;0.01;-0.335;-0.005;-0.039;-0.006
011.0082.300;2;2;11;7;E0498;222420053;14152399;3;1;1;2023-12-05 05:43:35.150;FALSO;FALSO;FORST 1;IND-6 WALTER 900AI2;UBR.0735;0.011;-0.1;-0.008;0.07;0.295;0.049;0.03;-0.019
